Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,Gender,JobRole,PerformanceRating,YearsAtCompany,YearsInCurrentRole,MonthlyIncome
49,No,Travel_Frequently,Research & Development,8,Life Sciences,Male,Research Scientist,4,10,7,5130
27,No,Travel_Rarely,Research & Development,2,Medical,Male,Laboratory Technician,3,2,2,3468
59,No,Travel_Rarely,Research & Development,3,Medical,Female,Laboratory Technician,4,1,0,2670
30,No,Travel_Rarely,Research & Development,24,Life Sciences,Male,Laboratory Technician,4,1,0,2693
35,No,Travel_Rarely,Research & Development,16,Medical,Male,Laboratory Technician,3,5,4,2426
31,No,Travel_Rarely,Research & Development,26,Life Sciences,Male,Research Scientist,3,5,2,2911
34,No,Travel_Rarely,Research & Development,19,Medical,Male,Laboratory Technician,3,2,2,2661
29,No,Travel_Rarely,Research & Development,21,Life Sciences,Female,Manufacturing Director,3,10,9,9980
32,No,Travel_Rarely,Research & Development,5,Life Sciences,Male,Research Scientist,3,6,2,3298
53,No,Travel_Rarely,Sales,2,Life Sciences,Female,Manager,3,25,8,15427
38,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,Research Scientist,3,3,2,3944
24,No,Non-Travel,Research & Development,11,Other,Female,Manufacturing Director,3,4,2,4011
34,No,Travel_Rarely,Research & Development,7,Life Sciences,Female,Research Director,3,12,6,11994
21,No,Travel_Rarely,Research & Development,15,Life Sciences,Male,Research Scientist,3,0,0,1232
53,No,Travel_Rarely,Research & Development,5,Other,Female,Manager,3,14,13,19094
33,No,Travel_Rarely,Research & Development,2,Medical,Male,Laboratory Technician,3,1,1,2496
44,No,Travel_Rarely,Research & Development,10,Other,Male,Healthcare Representative,3,4,2,6465
30,No,Travel_Rarely,Research & Development,9,Medical,Male,Laboratory Technician,3,10,0,2206
43,No,Travel_Rarely,Research & Development,2,Medical,Female,Research Scientist,3,5,3,2645
33,No,Travel_Frequently,Sales,1,Life Sciences,Female,Sales Executive,3,5,3,5376
35,No,Travel_Rarely,Research & Development,4,Other,Male,Laboratory Technician,3,1,0,1951
27,No,Travel_Rarely,Research & Development,2,Life Sciences,Female,Laboratory Technician,3,1,0,2341
27,No,Travel_Frequently,Sales,8,Life Sciences,Male,Sales Executive,3,9,8,8726
30,No,Travel_Frequently,Research & Development,1,Medical,Female,Laboratory Technician,4,12,8,4011
34,No,Non-Travel,Sales,23,Marketing,Male,Sales Executive,4,9,5,4568
37,No,Travel_Rarely,Research & Development,19,Life Sciences,Male,Research Scientist,4,1,0,3022
46,No,Travel_Frequently,Sales,5,Marketing,Male,Sales Executive,4,9,6,5772
44,No,Travel_Rarely,Sales,1,Marketing,Female,Sales Executive,4,4,3,5454
35,No,Non-Travel,Research & Development,11,Medical,Male,Healthcare Representative,3,4,0,9884
26,No,Travel_Rarely,Sales,23,Marketing,Female,Sales Executive,3,2,2,4157
33,No,Travel_Frequently,Research & Development,1,Life Sciences,Female,Research Director,3,15,14,13458
35,No,Travel_Frequently,Sales,18,Life Sciences,Male,Sales Executive,4,9,8,9069
35,No,Travel_Rarely,Research & Development,23,Medical,Female,Laboratory Technician,3,2,2,4014
31,No,Travel_Rarely,Research & Development,7,Life Sciences,Male,Laboratory Technician,4,7,7,5915
37,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,Manufacturing Director,3,7,5,5993
32,No,Travel_Rarely,Research & Development,1,Medical,Male,Manufacturing Director,4,9,8,6162
38,No,Travel_Frequently,Research & Development,29,Life Sciences,Female,Laboratory Technician,3,10,3,2406
50,No,Travel_Rarely,Research & Development,7,Medical,Female,Research Director,3,27,3,18740
59,No,Travel_Rarely,Sales,25,Life Sciences,Female,Sales Executive,3,21,16,7637
36,No,Travel_Rarely,Research & Development,8,Technical Degree,Female,Healthcare Representative,3,17,14,10096
55,No,Travel_Rarely,Research & Development,8,Medical,Female,Manager,3,5,0,14756
45,No,Travel_Rarely,Research & Development,7,Life Sciences,Male,Research Scientist,3,1,0,9724
35,No,Travel_Frequently,Research & Development,1,Medical,Male,Research Scientist,3,3,2,2194
59,No,Travel_Frequently,Sales,1,Life Sciences,Female,Sales Executive,3,4,3,5473
29,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,Research Scientist,4,5,4,2703
31,No,Travel_Rarely,Research & Development,1,Medical,Male,Research Scientist,3,1,1,2501
32,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,Research Scientist,3,10,4,6220
36,No,Travel_Rarely,Research & Development,6,Life Sciences,Female,Laboratory Technician,3,1,0,3038
45,No,Travel_Rarely,Research & Development,6,Other,Male,Research Director,3,0,0,13245
37,No,Travel_Rarely,Research & Development,7,Medical,Male,Research Director,3,5,2,13664
30,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,Laboratory Technician,3,10,8,5126
35,No,Travel_Rarely,Research & Development,1,Medical,Male,Research Scientist,3,6,4,2859
55,No,Travel_Rarely,Sales,1,Life Sciences,Male,Sales Executive,3,1,0,10239
38,No,Non-Travel,Research & Development,6,Medical,Female,Research Scientist,3,13,11,5329
34,No,Travel_Rarely,Research & Development,1,Medical,Male,Manufacturing Director,3,5,2,4325
51,No,Travel_Rarely,Research & Development,9,Life Sciences,Male,Laboratory Technician,4,4,2,2075
30,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,Healthcare Representative,3,11,10,4152
40,No,Travel_Frequently,Research & Development,1,Life Sciences,Male,Healthcare Representative,4,22,3,13503
51,No,Travel_Rarely,Sales,21,Marketing,Male,Sales Executive,4,10,7,5441
30,No,Travel_Rarely,Sales,4,Medical,Female,Sales Executive,3,11,8,5209
32,No,Travel_Rarely,Sales,6,Medical,Male,Sales Executive,3,11,8,5010
54,No,Travel_Rarely,Research & Development,2,Technical Degree,Female,Research Director,3,4,3,13549
24,No,Travel_Rarely,Sales,3,Other,Female,Sales Executive,4,3,2,4999
58,No,Travel_Rarely,Sales,10,Medical,Male,Sales Executive,3,37,10,13872
44,No,Non-Travel,Research & Development,23,Medical,Male,Laboratory Technician,3,3,2,2042
32,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,Research Scientist,3,1,0,2956
34,No,Travel_Rarely,Research & Development,6,Other,Female,Research Scientist,3,16,13,4809
37,No,Non-Travel,Research & Development,2,Life Sciences,Male,Healthcare Representative,3,1,0,5163
59,No,Non-Travel,Human Resources,2,Human Resources,Female,Manager,4,3,2,18844
50,No,Travel_Frequently,Research & Development,1,Life Sciences,Female,Research Director,3,8,3,18172
25,No,Travel_Rarely,Research & Development,7,Medical,Male,Research Scientist,3,2,2,2889
51,No,Travel_Frequently,Research & Development,1,Medical,Female,Healthcare Representative,4,13,12,7484
54,No,Non-Travel,Human Resources,26,Human Resources,Female,Manager,3,5,3,17328
24,No,Travel_Rarely,Research & Development,18,Life Sciences,Male,Laboratory Technician,3,5,3,2774
34,No,Travel_Rarely,Research & Development,6,Life Sciences,Female,Research Scientist,3,1,0,4505
37,No,Travel_Rarely,Sales,3,Life Sciences,Male,Sales Executive,3,5,3,7428
34,No,Travel_Rarely,Research & Development,5,Medical,Female,Manager,3,11,10,11631
36,No,Travel_Frequently,Sales,11,Technical Degree,Female,Sales Executive,3,9,7,9738
36,No,Travel_Rarely,Research & Development,3,Life Sciences,Female,Laboratory Technician,4,1,0,2835
43,No,Travel_Frequently,Sales,26,Life Sciences,Male,Manager,3,25,12,16959
33,No,Non-Travel,Sales,22,Marketing,Male,Sales Executive,3,7,7,6146
26,No,Travel_Rarely,Research & Development,6,Other,Female,Research Scientist,3,5,4,2368
49,No,Travel_Rarely,Research & Development,20,Medical,Female,Manufacturing Director,3,15,11,6567
43,No,Travel_Frequently,Research & Development,28,Medical,Female,Research Scientist,3,3,2,4739
50,No,Travel_Frequently,Sales,12,Marketing,Female,Sales Executive,3,2,2,9208
41,No,Travel_Rarely,Sales,9,Life Sciences,Male,Sales Executive,3,9,7,8189
36,No,Travel_Rarely,Research & Development,6,Medical,Male,Manufacturing Director,4,3,2,4941
39,No,Travel_Rarely,Sales,4,Life Sciences,Female,Sales Executive,3,15,11,5902
25,No,Travel_Rarely,Sales,28,Life Sciences,Male,Sales Executive,3,2,2,8639
30,No,Travel_Rarely,Human Resources,9,Human Resources,Male,Human Resources,3,11,9,6347
45,No,Travel_Rarely,Research & Development,29,Medical,Male,Research Scientist,3,6,5,3452
38,No,Travel_Rarely,Research & Development,3,Technical Degree,Female,Research Scientist,4,3,2,4317
30,No,Travel_Rarely,Research & Development,18,Life Sciences,Female,Research Scientist,3,5,4,2632
32,No,Travel_Frequently,Sales,9,Medical,Male,Sales Executive,3,8,7,4668
30,No,Travel_Rarely,Research & Development,5,Technical Degree,Female,Research Scientist,3,3,2,3204
30,No,Travel_Rarely,Research & Development,2,Medical,Male,Laboratory Technician,3,5,3,2720
41,No,Travel_Rarely,Research & Development,9,Life Sciences,Male,Laboratory Technician,4,5,0,2238
40,No,Travel_Frequently,Research & Development,26,Medical,Female,Research Scientist,3,20,7,5605
35,No,Travel_Rarely,Sales,1,Marketing,Male,Sales Executive,3,10,8,7295
53,No,Travel_Rarely,Sales,6,Marketing,Male,Sales Representative,4,7,7,2306
45,No,Travel_Rarely,Research & Development,9,Life Sciences,Male,Laboratory Technician,3,17,9,2348
29,No,Non-Travel,Research & Development,1,Technical Degree,Male,Manufacturing Director,3,10,7,4319
51,No,Travel_Rarely,Research & Development,7,Medical,Male,Manufacturing Director,3,1,0,6132
27,No,Non-Travel,Research & Development,9,Medical,Male,Research Scientist,3,2,2,2024
28,No,Travel_Rarely,Research & Development,21,Medical,Male,Research Scientist,3,5,2,2713
57,No,Travel_Rarely,Research & Development,24,Life Sciences,Male,Healthcare Representative,3,5,3,9439
50,No,Travel_Rarely,Research & Development,11,Life Sciences,Female,Manager,3,5,4,19926
41,No,Travel_Rarely,Research & Development,14,Life Sciences,Male,Research Scientist,3,9,8,2451
30,No,Travel_Rarely,Sales,5,Life Sciences,Female,Sales Executive,3,10,9,9419
38,No,Travel_Rarely,Sales,1,Life Sciences,Female,Sales Executive,4,8,3,8686
27,No,Travel_Rarely,Research & Development,17,Technical Degree,Male,Research Scientist,3,5,2,3058
36,No,Travel_Frequently,Research & Development,3,Medical,Male,Laboratory Technician,3,8,7,2088
